"CustomerID","PersonID","Territory","StoreID"
12073,17404,Southwest,
12887,9348,Southwest,
18681,7764,Southwest,
25357,13846,Southwest,
19003,15836,Southwest,
26061,5603,Southwest,
26536,10820,Southwest,
19868,5741,Southwest,
23838,9126,Southwest,
26578,3997,Southwest,
29107,8452,Southwest,
13193,15617,Southwest,
17552,20359,Southwest,
18648,3167,Southwest,
20438,16738,Southwest,
21243,15155,Southwest,
21743,13924,Southwest,
28062,4438,Southwest,
27078,10131,Southwest,
12046,9183,Southwest,
16095,4630,Southwest,
23840,14899,Southwest,
26283,13534,Southwest,
25967,12017,Southwest,
14738,17965,Southwest,
21343,13474,Southwest,
22134,5235,Southwest,
20386,3685,Southwest,
13903,17044,Southwest,
15574,14389,Southwest,
20647,15158,Southwest,
14285,3595,Southwest,
14565,10429,Southwest,
18955,18033,Southwest,
21779,9088,Southwest,
24430,13462,Southwest,
18988,10350,Southwest,
20376,11515,Southwest,
21936,19491,Southwest,
22012,7647,Southwest,
22734,10281,Southwest,
12104,8079,Southwest,
15518,13799,Southwest,
16490,11698,Southwest,
18572,7858,Southwest,
19897,9909,Southwest,
11285,3992,Southwest,
14731,4301,Southwest,
17507,12019,Southwest,
18824,15757,Southwest,
18964,16257,Southwest,
19225,14108,Southwest,
22281,7124,Southwest,
25184,20411,Southwest,
28344,4605,Southwest,
17397,2764,Southwest,
23042,7362,Southwest,
23337,16799,Southwest,
23365,7409,Southwest,
12190,6621,Southwest,
13912,6794,Southwest,
27458,13259,Southwest,
14106,7338,Southwest,
14356,10322,Southwest,
17617,3974,Southwest,
21309,11049,Southwest,
23210,14484,Southwest,
23238,17444,Southwest,
23876,6652,Southwest,
24404,3907,Southwest,
28096,2759,Southwest,
29025,13580,Southwest,
13307,9465,Southwest,
27660,10787,Southwest,
11831,6749,Southwest,
12018,13696,Southwest,
16234,3774,Southwest,
17591,13155,Southwest,
25166,13551,Southwest,
28076,17590,Southwest,
28296,5705,Southwest,
11839,18537,Southwest,
13400,11050,Southwest,
25047,12829,Southwest,
11042,19075,Southwest,
14470,4007,Southwest,
13332,6849,Southwest,
14443,17981,Southwest,
19134,10942,Southwest,
22138,2792,Southwest,
24810,20133,Southwest,
28058,7047,Southwest,
13866,7318,Southwest,
15836,4929,Southwest,
26601,16261,Southwest,
11866,4821,Southwest,
12432,17685,Southwest,
16224,18703,Southwest,
18413,17845,Southwest,
18608,4761,Southwest,
18958,2680,Southwest,
27990,10829,Southwest,
21468,6528,Southwest,
16778,13626,Southwest,
16851,5820,Southwest,
20541,10477,Southwest,
12932,18474,Southwest,
17428,4437,Southwest,
28761,16154,Southwest,
13471,5302,Southwest,
15316,12012,Southwest,
17441,9586,Southwest,
23590,18212,Southwest,
24524,11701,Southwest,
27670,12715,Southwest,
26517,7594,Southwest,
16116,13415,Southwest,
19840,3494,Southwest,
20118,7736,Southwest,
21700,14558,Southwest,
27623,18154,Southwest,
28815,3718,Southwest,
11637,10425,Southwest,
12428,15309,Southwest,
12924,4328,Southwest,
16383,14183,Southwest,
23004,19476,Southwest,
19198,7955,Southwest,
27278,15500,Southwest,
28636,19470,Southwest,
11191,10722,Southwest,
13176,4166,Southwest,
17562,7054,Southwest,
18228,15571,Southwest,
18519,15476,Southwest,
19547,19048,Southwest,
23155,11845,Southwest,
24334,8366,Southwest,
24959,14340,Southwest,
13057,20078,Southwest,
19122,12193,Southwest,
21794,20154,Southwest,
23864,11588,Southwest,
26044,13298,Southwest,
14295,12287,Southwest,
20700,4655,Southwest,
21328,4434,Southwest,
28674,5980,Southwest,
21591,12666,Southwest,
24679,3794,Southwest,
25400,5786,Southwest,
27231,6820,Southwest,
28598,13695,Southwest,
13151,17918,Southwest,
13388,11300,Southwest,
16815,18682,Southwest,
25018,4801,Southwest,
27655,14052,Southwest,
28182,3899,Southwest,
17399,15282,Southwest,
17594,9193,Southwest,
20387,16890,Southwest,
20650,14501,Southwest,
23091,14445,Southwest,
11741,11916,Southwest,
17265,19658,Southwest,
24298,6181,Southwest,
23398,5159,Southwest,
27105,15922,Southwest,
27505,1761,Southwest,
29004,18886,Southwest,
11656,10076,Southwest,
17860,6118,Southwest,
21385,19926,Southwest,
11617,14123,Southwest,
12058,9864,Southwest,
12164,6105,Southwest,
15328,3855,Southwest,
19544,2949,Southwest,
23268,8993,Southwest,
28676,15135,Southwest,
28973,14662,Southwest,
11252,19006,Southwest,
17563,4022,Southwest,
20180,3021,Southwest,
14298,20618,Southwest,
13352,18915,Southwest,
14895,16914,Southwest,
25206,6568,Southwest,
26525,15064,Southwest,
26738,2976,Southwest,
17003,13986,Southwest,
19994,10510,Southwest,
21313,6064,Southwest,
23505,5627,Southwest,
24643,9749,Southwest,
24990,15797,Southwest,
27010,6870,Southwest,
12884,11669,Southwest,
16854,4350,Southwest,
22266,19734,Southwest,
23740,17197,Southwest,
28238,13466,Southwest,
11179,16169,Southwest,
14593,5195,Southwest,
17022,20557,Southwest,
24930,12068,Southwest,
25152,3254,Southwest,
13246,10053,Southwest,
21712,19136,Southwest,
24486,12834,Southwest,
25085,15406,Southwest,
18561,9694,Southwest,
20462,10000,Southwest,
24807,14365,Southwest,
12094,8831,Southwest,
16997,10913,Southwest,
20297,17494,Southwest,
21459,5458,Southwest,
27609,6015,Southwest,
11789,9683,Southwest,
17667,9472,Southwest,
27092,7058,Southwest,
28593,8222,Southwest,
12103,11594,Southwest,
22256,13151,Southwest,
15164,9430,Southwest,
20695,18765,Southwest,
22062,6301,Southwest,
23359,13478,Southwest,
28016,14258,Southwest,
29077,13589,Southwest,
14292,2532,Southwest,
14485,9437,Southwest,
16888,7707,Southwest,
12195,9020,Southwest,
13240,13610,Southwest,
18650,5750,Southwest,
23386,17341,Southwest,
28840,17520,Southwest,
16249,15200,Southwest,
23383,17563,Southwest,
28298,9338,Southwest,
27229,7043,Southwest,
27755,20190,Southwest,
11850,8313,Southwest,
18415,3049,Southwest,
18762,12043,Southwest,
19109,7938,Southwest,
23800,8503,Southwest,
26091,20280,Southwest,
27506,7540,Southwest,
14870,18505,Southwest,
23705,13529,Southwest,
27535,14918,Southwest,
15392,10753,Southwest,
26776,11464,Southwest,
12070,5632,Southwest,
12409,10115,Southwest,
18967,4402,Southwest,
21444,4188,Southwest,
29168,19111,Southwest,
21933,11458,Southwest,
22075,11640,Southwest,
24444,5913,Southwest,
14441,18416,Southwest,
18088,15858,Southwest,
18799,18709,Southwest,
20644,14128,Southwest,
22185,5590,Southwest,
22338,5714,Southwest,
27192,7159,Southwest,
11872,7820,Southwest,
